time,precip_mm
2003-03-01,16.676378
2003-04-01,58.2245
2003-05-01,68.4145
2003-06-01,59.016888
2003-07-01,58.964287
2003-08-01,31.65818
2003-09-01,69.562065
2003-10-01,136.6305
2003-11-01,55.32443
2003-12-01,64.658875
2004-01-01,85.88481
2004-02-01,63.966145
2004-03-01,56.69913
2004-04-01,77.923584
2004-05-01,80.31181
2004-06-01,88.92227
2004-07-01,70.23541
2004-08-01,54.823353
2004-09-01,49.52163
2004-10-01,68.38718
2004-11-01,123.81573
2004-12-01,71.98551
2005-01-01,59.407955
2005-02-01,89.696754
2005-03-01,60.59513
2005-04-01,92.306274
2005-05-01,82.946625
2005-06-01,72.55722
2005-07-01,84.99522
2005-08-01,137.69583
2005-09-01,78.648056
2005-10-01,37.267197
2005-11-01,80.409546
2005-12-01,120.889275
2006-01-01,50.992474
2006-02-01,63.192474
2006-03-01,106.49743
2006-04-01,97.83938
2006-05-01,59.124744
2006-06-01,124.73956
2006-07-01,69.28018
2006-08-01,141.94447
2006-09-01,48.478443
2006-10-01,54.87319
2006-11-01,52.24665
2006-12-01,70.14679
2007-01-01,65.6783
2007-02-01,64.35947
2007-03-01,91.3213
2007-04-01,29.713085
2007-05-01,122.72746
2007-06-01,82.7252
2007-07-01,31.183748
2007-08-01,79.12705
2007-09-01,86.99429
2007-10-01,133.40134
2007-11-01,134.52583
2007-12-01,53.126842
2008-01-01,47.954845
2008-02-01,18.729471
2008-03-01,87.47545
2008-04-01,81.67471
2008-05-01,61.540318
2008-06-01,79.2387
2008-07-01,69.28983
2008-08-01,39.08741
2008-09-01,76.13578
2008-10-01,52.91983
2008-11-01,71.07602
2008-12-01,118.22083
2009-01-01,102.13815
2009-02-01,62.589394
2009-03-01,86.85307
2009-04-01,42.020283
2009-05-01,66.119415
2009-06-01,134.86731
2009-07-01,60.735348
2009-08-01,54.892345
2009-09-01,34.53667
2009-10-01,114.46225
2009-11-01,101.81595
2009-12-01,139.44214
2010-01-01,84.99158
2010-02-01,113.92079
2010-03-01,75.556725
2010-04-01,86.65857
2010-05-01,108.53597
2010-06-01,115.65558
2010-07-01,68.14854
2010-08-01,50.67646
2010-09-01,61.446407
2010-10-01,106.08412
2010-11-01,102.615524
2010-12-01,106.53824
2011-01-01,39.477875
2011-02-01,40.748566
2011-03-01,45.037052
2011-04-01,41.973812
2011-05-01,84.95734
2011-06-01,61.36215
2011-07-01,83.486305
2011-08-01,21.756674
2011-09-01,39.165684
2011-10-01,46.184414
2011-11-01,15.99336
2011-12-01,83.37226
2012-01-01,81.13094
2012-02-01,87.29054
2012-03-01,26.665676
2012-04-01,106.72219
2012-05-01,115.146965
2012-06-01,38.78561
2012-07-01,54.623085
2012-08-01,21.23529
2012-09-01,39.766857
2012-10-01,94.704575
2012-11-01,57.788864
2012-12-01,106.283646
2013-01-01,79.46188
2013-02-01,103.61629
2013-03-01,119.885414
2013-04-01,62.167286
2013-05-01,106.41427
2013-06-01,77.989685
2013-07-01,38.824356
2013-08-01,52.129356
2013-09-01,73.55678
2013-10-01,60.845154
2013-11-01,80.38928
2013-12-01,25.393242
2014-01-01,61.257416
2014-02-01,56.194134
2014-03-01,67.41193
2014-04-01,131.20525
2014-05-01,152.2873
2014-06-01,96.51131
2014-07-01,132.51492
2014-08-01,67.81809
2014-09-01,126.59585
2014-10-01,67.17235
2014-11-01,59.748596
2014-12-01,98.33413
2015-01-01,73.4393
2015-02-01,65.0659
2015-03-01,88.92096
2015-04-01,56.159447
2015-05-01,82.52886
2015-06-01,67.22347
2015-07-01,24.631815
2015-08-01,67.92494
2015-09-01,67.40444
2015-10-01,87.77099
2015-11-01,71.519905
2015-12-01,12.060615
2016-01-01,83.86814
2016-02-01,73.06047
2016-03-01,108.89885
2016-04-01,72.542244
2016-05-01,103.31448
2016-06-01,102.82044
2016-07-01,76.937325
2016-08-01,75.675064
2016-09-01,60.845646
2016-10-01,83.65685
2016-11-01,95.72636
2016-12-01,18.623722
2017-01-01,45.63616
2017-02-01,48.085186
2017-03-01,49.499752
2017-04-01,80.321144
2017-05-01,85.726906
2017-06-01,67.21293
2017-07-01,47.298206
2017-08-01,41.48778
2017-09-01,63.78698
2017-10-01,71.70023
2017-11-01,72.07841
2017-12-01,124.53084
2018-01-01,73.3251
2018-02-01,71.55505
2018-03-01,135.03752
2018-04-01,67.2294
2018-05-01,92.17516
2018-06-01,131.85663
2018-07-01,103.21672
2018-08-01,56.993824
2018-09-01,30.512508
2018-10-01,34.84768
2018-11-01,70.355
2018-12-01,68.80991
2019-01-01,92.67557
2019-02-01,47.17533
2019-03-01,29.840624
2019-04-01,79.5183
2019-05-01,126.78122
2019-06-01,105.50826
2019-07-01,71.8703
2019-08-01,41.438854
2019-09-01,41.437763
2019-10-01,20.076113
2019-11-01,108.5545
2019-12-01,73.60986
2020-01-01,27.164717
2020-02-01,50.229298
2020-03-01,71.34651
2020-04-01,45.861164
2020-05-01,85.64607
2020-06-01,105.829315
2020-07-01,70.97184
2020-08-01,108.991714
2020-09-01,55.042362
2020-10-01,97.29199
2020-11-01,14.566736
2020-12-01,96.36334
2021-01-01,136.97112
2021-02-01,43.8589
2021-03-01,67.28578
2021-04-01,64.56128
2021-05-01,66.65248
2021-06-01,49.176636
2021-07-01,76.46214
2021-08-01,46.63985
2021-09-01,34.255573
2021-10-01,66.54631
2021-11-01,77.071945
2021-12-01,138.8513
2022-01-01,37.280827
2022-02-01,40.347237
2022-03-01,42.757607
2022-04-01,76.97894
2022-05-01,65.89094
2022-06-01,72.48807
2022-07-01,53.75327
2022-08-01,80.131935
2022-09-01,113.23134
2022-10-01,22.113203
2022-11-01,106.208435
2022-12-01,92.2734
2023-01-01,93.06533
2023-02-01,47.58285
2023-03-01,59.537273
2023-04-01,85.68001
2023-05-01,94.64252
2023-06-01,113.57428
2023-07-01,72.12627
2023-08-01,73.70156
2023-09-01,50.841187
2023-10-01,45.69039
2023-11-01,161.21506
2023-12-01,61.00846
2024-01-01,59.384987
2024-02-01,41.282932
2024-03-01,72.218575
2024-04-01,64.54771
2024-05-01,100.903206
2024-06-01,84.6025
2024-07-01,57.499847
2024-08-01,31.935331
2024-09-01,101.6844
2024-10-01,48.82477
2024-11-01,74.09892
2024-12-01,104.730965
2025-01-01,40.600677
2025-02-01,23.118742
